Pos : 1,Iter : 1,Collisions: 0
agent_id,Distance,Time
0,717.5,9.57
1,851.25,11.35

Pos : 1,Iter : 2,Collisions: 0
agent_id,Distance,Time
0,717.5,9.57

Pos : 1,Iter : 3,Collisions: 0
agent_id,Distance,Time
0,717.5,9.57

Pos : 1,Iter : 1,Collisions: 0
agent_id,Distance,Time
0,230.0,3.07

Pos : 1,Iter : 2,Collisions: 0
agent_id,Distance,Time
0,230.0,3.07

Pos : 1,Iter : 1,Collisions: 17
agent_id,Distance,Time
50,1394.68,21.85
51,610.25,8.67
52,458.12,5.73
53,747.57,24.73
54,502.99,7.4
55,857.05,10.97
56,388.24,6.68
57,1481.98,20.95
58,1010.03,25.43
59,405.56,4.87
60,1125.72,29.28
61,1117.95,22.62

Pos : 1,Iter : 3,Collisions: 24
agent_id,Distance,Time
0,884.06,17.9
1,1201.86,21.67
2,958.75,21.45
3,1039.3,21.75
4,1311.25,22.95
5,1326.4,33.12
6,1042.4,25.28
7,1080.65,22.07
8,441.63,9.67
9,607.56,7.72
10,693.08,22.72
11,1315.28,27.58
12,40.28,0.48
13,774.54,13.52
14,463.89,5.57
15,910.66,18.68
16,1079.9,16.72
17,1129.9,26.65
18,841.22,13.18
19,415.0,5.53
20,976.85,16.63
21,1210.47,34.3
22,1614.14,35.9
23,991.2,30.12
24,445.19,6.2
25,1600.34,28.62
26,1187.63,19.43
27,1318.7,28.53
28,1592.89,26.0
29,1188.03,21.63
30,971.6,14.85
31,913.42,14.42
32,294.13,4.38
33,347.65,4.63
34,414.66,7.55
35,626.39,7.52
36,552.74,16.03
37,485.64,6.88
38,783.46,10.35
39,1454.14,26.68
40,715.93,12.2
41,653.65,15.17
42,1203.46,22.93
43,415.0,5.53
44,1272.17,24.2
45,271.13,4.73
46,336.22,4.38
47,330.56,3.97
48,1383.19,22.77
49,602.88,18.3
50,1430.81,23.38
51,610.58,8.63
52,458.43,6.42
53,586.75,17.15
54,502.16,7.12
55,856.41,10.73
56,387.58,7.12
57,1481.34,20.32
58,1010.19,19.03
59,405.56,4.87
60,822.36,24.43
61,1028.02,22.73

Pos : 1,Iter : 4,Collisions: 22
agent_id,Distance,Time
0,882.65,13.0
1,900.59,18.17
2,1158.61,23.15
3,1040.41,18.37
4,1614.36,33.42
5,1341.4,25.18
6,1043.75,18.92
7,1080.65,22.07
8,442.43,7.22
9,600.53,7.55
10,993.37,30.48
11,909.88,15.58
12,40.28,0.48
13,773.81,18.17
14,463.89,5.57
15,1210.35,20.78
16,1079.9,21.72
17,1216.54,25.38
18,841.63,13.07
19,415.0,5.53
20,1028.63,15.5
21,1015.86,21.92
22,1322.87,22.83
23,1098.1,25.05
24,445.19,5.72
25,1299.57,25.0
26,1187.63,19.43
27,1016.11,20.22
28,690.19,14.22
29,1188.01,20.07
30,972.47,19.07
31,912.94,19.12
32,293.27,4.37
33,347.65,4.63
34,414.54,7.3
35,626.39,7.52
36,553.16,17.43
37,485.64,6.88
38,783.46,10.35
39,921.96,17.8
40,717.1,11.4
41,954.74,16.28
42,779.85,21.17
43,415.0,5.53
44,1272.17,24.2
45,271.13,4.73
46,336.22,4.38
47,330.56,3.97
48,944.9,18.8
49,1125.69,22.98
50,1393.43,27.23
51,609.23,8.6
52,458.43,6.42
53,981.83,28.73
54,502.36,7.0
55,856.41,10.73
56,387.63,6.2
57,1481.88,20.6
58,1111.07,29.3
59,405.98,5.67
60,823.48,15.2
61,1026.66,23.23

Pos : 1,Iter : 5,Collisions: 16
agent_id,Distance,Time
0,882.21,18.25
1,900.98,17.05
2,1111.47,21.18
3,1038.29,17.43
4,1310.05,25.2
5,867.34,17.9
6,1043.17,19.75
7,1080.48,20.62
8,441.83,7.12
9,600.11,7.55
10,904.82,21.52
11,910.92,14.83
12,40.28,0.48
13,774.85,17.0
14,463.89,5.57
15,1210.67,22.1
16,1381.9,26.88
17,635.77,13.5
18,1143.13,20.38
19,415.0,5.53
20,897.42,16.05
21,1013.61,19.68
